id;eventdescription;starttime;startdate;endtime;enddate
1;Tasty Plastic Tuna cross-platform connect;2020-02-20T18:08:53;2020-02-21;2020-02-21T04:11:14;2020-02-20
2;Technician SAS;2020-02-20T17:42:13;2020-02-20;2020-02-20T21:45:23;2020-02-20
3;fuchsia Awesome;2020-02-20T14:46:34;2020-02-21;2020-02-20T13:42:30;2020-02-20
4;array hack Shoes;2020-02-21T02:36:18;2020-02-20;2020-02-20T20:10:53;2020-02-20
5;24/7 monetize;2020-02-21T03:08:43;2020-02-20;2020-02-20T21:25:24;2020-02-21
6;strategic New Zealand Dollar Paradigm;2020-02-21T04:00:28;2020-02-20;2020-02-20T11:52:17;2020-02-21
7;connecting;2020-02-21T02:49:47;2020-02-20;2020-02-21T09:06:08;2020-02-20
8;Bedfordshire Accounts Frozen;2020-02-20T23:23:55;2020-02-21;2020-02-20T18:43:22;2020-02-21
9;calculate;2020-02-20T19:39:01;2020-02-21;2020-02-20T12:07:47;2020-02-20
10;copy empowering;2020-02-21T07:43:21;2020-02-21;2020-02-21T02:27:11;2020-02-20
