id;tasktitle;taskdescription;date_start;time_start;date_end;time_end;taskstatus;taskpriority;due_date;taskcategory;taskstate
1;withdrawal Moldovan Leu Intelligent;Analyst Technician;2019-02-20;2019-02-21T05:45:46;2019-02-21;2019-02-20T19:22:19;92743;64501;2019-02-20;Grocery;99218
2;deposit;morph Rubber;2019-02-20;2019-02-21T02:44:15;2019-02-20;2019-02-21T06:44:34;99818;46795;2019-02-20;calculating Human;76635
3;Usability Wisconsin Pakistan Rupee;Licensed Fresh Chair zero administration;2019-02-21;2019-02-20T13:13:05;2019-02-21;2019-02-20T13:17:18;76559;3157;2019-02-20;copying Squares Bacon;84701
4;Ramp;driver Gorgeous Soft Car Applications;2019-02-21;2019-02-20T16:00:12;2019-02-21;2019-02-20T09:51:27;60871;8049;2019-02-21;Re-contextualized;45984
5;programming;Agent;2019-02-20;2019-02-20T20:16:01;2019-02-20;2019-02-21T06:39:15;28011;66568;2019-02-20;input;37735
6;Valley mint green Technician;Personal Loan Account;2019-02-20;2019-02-20T22:52:37;2019-02-20;2019-02-20T18:14:24;37909;8133;2019-02-21;logistical;17553
7;withdrawal Checking Account;transparent Organized Rubber;2019-02-20;2019-02-20T10:28:28;2019-02-20;2019-02-20T19:40:00;63923;63738;2019-02-21;Consultant;38586
8;Shirt Bike Shirt;navigate;2019-02-20;2019-02-21T06:03:40;2019-02-21;2019-02-21T09:09:57;54973;72320;2019-02-20;toolset collaboration Egyptian Pound;28507
9;Facilitator disintermediate;Lodge;2019-02-20;2019-02-20T23:16:18;2019-02-20;2019-02-20T12:10:13;37194;65442;2019-02-20;Investment Account intangible Maryland;99879
10;black fuchsia;Cotton;2019-02-20;2019-02-20T19:59:34;2019-02-20;2019-02-20T14:34:00;3953;11447;2019-02-21;feed;18141
